Electricity generation by fuel*,,,,,,,,,,,,,,,,,,Contents
United Arab Emirates,^,134.7,-,-,-,1.3,-,136.0,^,133.9,-,-,-,4.2,-,138.1,,
Other Middle East,147.5,238.0,20.6,-,3.1,5.3,-,414.5,163.9,253.5,21.9,-,4.3,6.8,-,450.5,,
Total Middle East,392.3,781.6,21.3,6.9,14.5,7.5,-,1224.1,396.1,792.9,22.6,6.4,33.3,13.3,-,1264.7,,
,,,,,,,,,,,,,,,,,,
Egypt,28.8,153.7,-,-,13.4,3.5,-,199.4,28.2,152.5,-,-,13.4,6.5,-,200.6,,
South Africa,1.2,1.9,224.6,11.1,0.8,12.3,4.6,256.3,1.2,1.9,217.3,14.2,0.8,12.6,4.6,252.6,,
Other Africa,49.3,175.8,32.0,-,116.3,16.4,0.3,390.1,51.9,186.1,36.2,-,118.6,26.0,-1.8,417.0,,
Total Africa,79.3,331.3,256.6,11.1,130.4,32.2,4.9,845.8,81.3,340.5,253.6,14.2,132.7,45.1,2.8,870.1,,
,,,,,,,,,,,,,,,,,,
Australia,5.4,51.4,156.5,-,17.4,32.2,0.1,263.1,5.8,54.4,149.5,-,14.3,41.1,0.1,265.1,,
China,5.5,215.5,4765.0,295.0,1198.9,636.4,49.8,7166.1,6.0,236.5,4853.7,348.7,1269.7,732.3,56.5,7503.4,,
India,8.5,73.9,1167.3,39.1,139.6,122.8,0.2,1551.4,8.2,71.0,1137.4,45.2,161.8,134.9,0.2,1558.7,,
Indonesia,18.1,57.3,160.0,-,16.8,14.6,0.3,267.1,17.3,51.6,177.0,-,17.0,16.0,0.3,279.1,,
Japan,66.2,386.9,323.0,49.1,81.0,96.8,53.3,1056.2,44.7,362.4,326.2,65.6,73.9,121.2,42.3,1036.3,,
Malaysia,1.3,64.8,73.5,-,26.5,1.3,-,167.3,2.6,68.6,71.1,-,27.0,1.7,-,171.0,,
South Korea,10.1,160.9,250.9,133.5,3.4,23.9,10.7,593.4,7.4,150.8,238.7,146.0,2.8,29.2,9.7,584.7,,
Taiwan,8.2,92.4,131.2,27.7,4.5,6.4,5.2,275.6,5.8,91.1,126.4,32.3,5.5,8.0,5.0,274.2,,
Thailand,0.2,116.3,35.8,-,7.6,17.8,-^,177.6,1.1,121.8,35.8,-,6.3,21.4,-^,186.5,,
Vietnam,0.2,40.1,83.9,-,84.5,0.5,-,209.2,1.4,43.1,112.5,-,65.6,4.7,-,227.4,,
Other Asia Pacific,49.9,218.2,138.9,9.8,130.8,32.8,1.9,582.2,39.1,231.4,148.0,9.5,139.7,35.7,0.5,604.0,,
Total Asia Pacific,173.5,1477.7,7286.1,554.1,1710.9,985.5,121.5,12309.3,139.5,1482.6,7376.4,647.3,1783.7,1146.2,114.8,12690.5,,
,,,,,,,,,,,,,,,,,,
Total World,890.4,6082.5,10091.3,2700.4,4171.4,2468.0,248.9,26652.7,825.3,6297.9,9824.1,2796.0,4222.2,2805.5,233.6,27004.7,,
of which: OECD,196.4,3201.2,2829.6,1969.8,1423.0,1442.4,183.9,11246.1,164.9,3347.5,2471.0,1993.0,1380.2,1616.8,162.6,11136.0,,
                 Non-OECD,694.0,2881.3,7261.7,730.6,2748.4,1025.6,65.0,15406.6,660.4,2950.4,7353.1,803.0,2842.1,1188.8,71.0,15868.7,,
                 European Union ,52.6,621.2,643.6,827.0,346.9,700.9,77.9,3270.1,49.1,692.2,488.4,822.4,327.9,768.2,67.2,3215.3,,
,,,,,,,,,,,,,,,,,,
*Based on gross output.,,,,,,,,,,,,,,,,,,
"# Includes sources not specified elsewhere e.g. pumped hydro, non renewable waste and statistical discrepancies (which can be positive or negative).",,,,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,,,
