Country,Year,Value
Morocco,2004,270.7
Morocco,2005,272.8
Morocco,2006,271.5
Morocco,2007,269.2
Morocco,2008,271
Morocco,2009,258.3
Morocco,2010,253.4
Morocco,2011,259.8
Morocco,2012,260.2
Morocco,2013,255.5
Morocco,2014,261.8
Morocco,2015,258.5
Morocco,2016,256.9
Morocco,2017,258.4
Morocco,2018,256.6
Morocco,2019,258.9
Poland,1965,326
Poland,1966,325.2
Poland,1967,323.7
Poland,1968,321.4
Poland,1969,319.5
Poland,1970,316.7
Poland,1971,315.9
Poland,1972,315.9
Poland,1973,313
Poland,1974,311.4
Poland,1975,311.6
Poland,1976,311.7
Poland,1977,311.5
Poland,1978,310.9
Poland,1979,310.8
Poland,1980,311.6
Poland,1981,311.1
Poland,1982,312.2
Poland,1983,311.6
Poland,1984,312
Poland,1985,312.2
Poland,1986,311.4
Poland,1987,312
Poland,1988,311
Poland,1989,310.8
Poland,1990,308.7
Poland,1991,311.2
Poland,1992,311.9
Poland,1993,311.3
Poland,1994,308.7
Poland,1995,308
Poland,1996,305.1
Poland,1997,304.2
Poland,1998,299.8
Poland,1999,299.2
Poland,2000,294.7
Poland,2001,294.9
Poland,2002,294.7
Poland,2003,293.6
Poland,2004,290.2
Poland,2005,289
Poland,2006,287.5
Poland,2007,285.5
Poland,2008,282.5
Poland,2009,280.1
Poland,2010,278.7
Poland,2011,277.5
Poland,2012,272.2
Poland,2013,273.4
Poland,2014,268.4
Poland,2015,265.6
Poland,2016,265.4
Poland,2017,263.2
Poland,2018,262.4
Poland,2019,255.8
Indonesia,1965,239.2
Indonesia,1966,234.2
Indonesia,1967,226.7
Indonesia,1968,223.3
Indonesia,1969,214.7
Indonesia,1970,213.2
Indonesia,1971,231.5
Indonesia,1972,235.6
Indonesia,1973,244.4
Indonesia,1974,241.1
Indonesia,1975,230.9
Indonesia,1976,236.7
Indonesia,1977,217
Indonesia,1978,214.5
Indonesia,1979,217.4
Indonesia,1980,224.5
Indonesia,1981,229.5
Indonesia,1982,231.3
Indonesia,1983,222.7
Indonesia,1984,217.9
Indonesia,1985,208.8
Indonesia,1986,207.5
Indonesia,1987,213.8
Indonesia,1988,213.4
Indonesia,1989,210.5
Indonesia,1990,221.9
Indonesia,1991,220.5
Indonesia,1992,220.4
Indonesia,1993,222.3
Indonesia,1994,222.6
Indonesia,1995,223
Indonesia,1996,220.9
Indonesia,1997,228
Indonesia,1998,230.1
Indonesia,1999,227.8
Indonesia,2000,227.5
Indonesia,2001,232.4
Indonesia,2002,230.9
Indonesia,2003,240
Indonesia,2004,235.9
Indonesia,2005,236.8
Indonesia,2006,246.1
Indonesia,2007,247.6
Indonesia,2008,243.8
Indonesia,2009,242.8
Indonesia,2010,243.8
Indonesia,2011,250.5
Indonesia,2012,254.1
Indonesia,2013,253.4
Indonesia,2014,246.8
Indonesia,2015,252.4
Indonesia,2016,247.6
Indonesia,2017,250.5
Indonesia,2018,254.2
Indonesia,2019,255.4
Cyprus,1965,259.4
Cyprus,1966,252
Cyprus,1967,253
Cyprus,1968,253.8
Cyprus,1969,253.3
Cyprus,1970,255.3
Cyprus,1971,251.6
Cyprus,1972,255.4
Cyprus,1973,253.4
Cyprus,1974,234.6
Cyprus,1975,244.3
Cyprus,1976,244.6
Cyprus,1977,255.5
Cyprus,1978,261.1
Cyprus,1979,260.7
Cyprus,1980,261.3
Cyprus,1981,258
Cyprus,1982,260.3
Cyprus,1983,259.4
Cyprus,1984,256.1
Cyprus,1985,263.4
Cyprus,1986,261.5
Cyprus,1987,265.5
Cyprus,1988,261.6
Cyprus,1989,259
Cyprus,1990,257.9
Cyprus,1991,263.4
Cyprus,1992,264.9
Cyprus,1993,265
Cyprus,1994,265.8
Cyprus,1995,267.2
Cyprus,1996,267.4
Cyprus,1997,265.9
Cyprus,1998,263.2
Cyprus,1999,262.8
Cyprus,2000,263.6
Cyprus,2001,264.3
Cyprus,2002,263.2
Cyprus,2003,264.7
Cyprus,2004,265.1
Cyprus,2005,266.2
Cyprus,2006,265.7
Cyprus,2007,266.5
Cyprus,2008,264.5
Cyprus,2009,262.4
Cyprus,2010,259.8
Cyprus,2011,258.5
Cyprus,2012,257.9
Cyprus,2013,257.2
Cyprus,2014,259.6
Cyprus,2015,257.7
Cyprus,2016,256.4
Cyprus,2017,255.7
Cyprus,2018,254.3
Cyprus,2019,252.9
Botswana,1965,259.3
Botswana,1966,288.4
Botswana,1967,285.4
Botswana,1968,286.9
Botswana,1969,275.7
Botswana,1970,263.5
Botswana,1971,267.2
Botswana,1972,260
Botswana,1973,259.7
Botswana,1974,254.3
Botswana,1975,272.9
Botswana,1976,287.1
Botswana,1977,297.4
Botswana,1978,171.8
Botswana,1979,179.3
Botswana,1980,181.6
Botswana,1981,194.1
Botswana,1982,198.4
Botswana,1983,192.2
Botswana,1984,190.9
Botswana,1985,196.5
Botswana,1986,207.3
Botswana,1987,206.3
Botswana,1988,214.1
Botswana,1989,218.6
Botswana,1990,248
Botswana,1991,243.3
Botswana,1992,250.8
Botswana,1993,253
Botswana,1994,263.6
Botswana,1995,250.3
Botswana,1996,252.7
Botswana,1997,260.6
Botswana,1998,255.8
Botswana,1999,244.7
Botswana,2000,243
Botswana,2001,244
Botswana,2002,240.5
Botswana,2003,240.4
Botswana,2004,243.4
Botswana,2005,238.4
Botswana,2006,239.2
Botswana,2007,239.5
Botswana,2008,241.7
Botswana,2009,243.6
Botswana,2010,234.2
Botswana,2011,234.2
Botswana,2012,240.4
Botswana,2013,247.4
Botswana,2014,250
Botswana,2015,250.6
Botswana,2016,253.7
Botswana,2017,254.4
Botswana,2018,256.2
Botswana,2019,252.8
Australia,1965,280.8
Australia,1966,281.3
Australia,1967,280.7
Australia,1968,279.4
Australia,1969,277.1
Australia,1970,273.3
Australia,1971,270.2
Australia,1972,269.6
Australia,1973,267.8
Australia,1974,266.5
Australia,1975,266.1
Australia,1976,265.8
Australia,1977,266
Australia,1978,266.1
Australia,1979,266.1
Australia,1980,266.5
Australia,1981,266.3
Australia,1982,267.6
Australia,1983,266.5
Australia,1984,267
Australia,1985,266.2
Australia,1986,266.5
Australia,1987,267.4
Australia,1988,267.7
Australia,1989,267.9
Australia,1990,266.9
Australia,1991,268.8
Australia,1992,268.3
Australia,1993,267
Australia,1994,266.2
Australia,1995,267.4
Australia,1996,268.5
Australia,1997,270.1
Australia,1998,271.5
Australia,1999,272.8
Australia,2000,272.7
Australia,2001,272
Australia,2002,271.6
Australia,2003,272.6
Australia,2004,273.4
Australia,2005,272.6
Australia,2006,271.7
Australia,2007,270.6
Australia,2008,272.2
Australia,2009,269.8
Australia,2010,263.7
Australia,2011,258.9
Australia,2012,257.6
Australia,2013,253.3
Australia,2014,254
Australia,2015,253.7
Australia,2016,252
Australia,2017,251.2
Australia,2018,246.8
Australia,2019,240.5
