Country,Year,CO2 per KWh
Norway,2012,66.7
Norway,2013,71.3
Norway,2014,68.1
Norway,2015,67.5
Norway,2016,64.5
Norway,2017,63.9
Norway,2018,65.8
Norway,2019,68.4
Sweden,1965,178.8
Sweden,1966,185.1
Sweden,1967,178.8
Sweden,1968,186.3
Sweden,1969,196.9
Sweden,1970,202.3
Sweden,1971,184.8
Sweden,1972,182.6
Sweden,1973,176
Sweden,1974,175.9
Sweden,1975,164.8
Sweden,1976,168.4
Sweden,1977,163.9
Sweden,1978,165.2
Sweden,1979,171.1
Sweden,1980,159.6
Sweden,1981,143.8
Sweden,1982,140.9
Sweden,1983,125.4
Sweden,1984,115.1
Sweden,1985,117.4
Sweden,1986,120.5
Sweden,1987,107.8
Sweden,1988,103.4
Sweden,1989,101.7
Sweden,1990,101.4
Sweden,1991,94.7
Sweden,1992,97.1
Sweden,1993,97.3
Sweden,1994,102.1
Sweden,1995,96.9
Sweden,1996,107.8
Sweden,1997,95.9
Sweden,1998,99
Sweden,1999,97.2
Sweden,2000,93.1
Sweden,2001,88.9
Sweden,2002,95.8
Sweden,2003,107.1
Sweden,2004,96.1
Sweden,2005,91.7
Sweden,2006,99.6
Sweden,2007,93.1
Sweden,2008,90.3
Sweden,2009,94
Sweden,2010,94.5
Sweden,2011,87.5
Sweden,2012,78
Sweden,2013,81.3
Sweden,2014,78.6
Sweden,2015,76.9
Sweden,2016,78.3
Sweden,2017,74.7
Sweden,2018,74.8
Sweden,2019,74.4
Trinidad & Tobago,1965,227.9
Trinidad & Tobago,1966,223.7
Trinidad & Tobago,1967,222.1
Trinidad & Tobago,1968,221.3
Trinidad & Tobago,1969,222.5
Trinidad & Tobago,1970,217.5
Trinidad & Tobago,1971,218.7
Trinidad & Tobago,1972,229.9
Trinidad & Tobago,1973,229.7
Trinidad & Tobago,1974,223.9
Trinidad & Tobago,1975,213.2
Trinidad & Tobago,1976,217.3
Trinidad & Tobago,1977,209.6
Trinidad & Tobago,1978,194.2
Trinidad & Tobago,1979,183.4
Trinidad & Tobago,1980,178.8
Trinidad & Tobago,1981,189.3
Trinidad & Tobago,1982,166.8
Trinidad & Tobago,1983,154.6
Trinidad & Tobago,1984,142.4
Trinidad & Tobago,1985,142.1
Trinidad & Tobago,1986,148.2
Trinidad & Tobago,1987,137.1
Trinidad & Tobago,1988,130.6
Trinidad & Tobago,1989,128.1
Trinidad & Tobago,1990,138.7
Trinidad & Tobago,1991,130.9
Trinidad & Tobago,1992,144.2
Trinidad & Tobago,1993,138
Trinidad & Tobago,1994,123.7
Trinidad & Tobago,1995,126.6
Trinidad & Tobago,1996,117
Trinidad & Tobago,1997,107.2
Trinidad & Tobago,1998,100.5
Trinidad & Tobago,1999,109.1
Trinidad & Tobago,2000,111.1
Trinidad & Tobago,2001,109.5
Trinidad & Tobago,2002,114.5
Trinidad & Tobago,2003,116.1
Trinidad & Tobago,2004,111.2
Trinidad & Tobago,2005,104.1
Trinidad & Tobago,2006,103.6
Trinidad & Tobago,2007,110.5
Trinidad & Tobago,2008,113.6
Trinidad & Tobago,2009,106.1
Trinidad & Tobago,2010,107.6
Trinidad & Tobago,2011,107.8
Trinidad & Tobago,2012,109.4
Trinidad & Tobago,2013,113
Trinidad & Tobago,2014,112.5
Trinidad & Tobago,2015,109.5
Trinidad & Tobago,2016,111.7
Trinidad & Tobago,2017,102.9
Trinidad & Tobago,2018,102.9
Trinidad & Tobago,2019,101.5
France,1965,253.2
France,1966,248.5
France,1967,250.9
France,1968,246.7
France,1969,245.1
France,1970,242
France,1971,243.2
France,1972,239.6
France,1973,239.5
France,1974,235.5
France,1975,228.5
France,1976,238.9
France,1977,228.7
France,1978,220.8
France,1979,219.8
France,1980,211.8
France,1981,195.1
France,1982,191.9
France,1983,180.3
France,1984,168
France,1985,160.2
France,1986,151.6
France,1987,145.9
France,1988,142.7
France,1989,145.2
France,1990,139.7
France,1991,139.8
France,1992,134.8
France,1993,128.6
France,1994,125.6
France,1995,125.2
France,1996,126.2
France,1997,124.1
France,1998,129.2
France,1999,126.8
France,2000,124.3
France,2001,123.4
France,2002,123.6
France,2003,124.6
France,2004,124.2
France,2005,125.1
France,2006,123
France,2007,122.1
France,2008,121.5
France,2009,123.5
France,2010,121.8
France,2011,117.5
France,2012,118.1
France,2013,116.9
France,2014,109.9
France,2015,111.2
France,2016,115.1
France,2017,118.1
France,2018,112
France,2019,111.3
Bolivia,1965,231.4
Bolivia,1966,210.1
Bolivia,1967,211.8
Bolivia,1968,210.7
Bolivia,1969,211.6
Bolivia,1970,207.5
Bolivia,1971,202.3
Bolivia,1972,211.8
Bolivia,1973,207
Bolivia,1974,202.3
Bolivia,1975,208.9
Bolivia,1976,210.4
Bolivia,1977,208.9
Bolivia,1978,213
Bolivia,1979,214.9
Bolivia,1980,197.9
Bolivia,1981,203
Bolivia,1982,197.7
Bolivia,1983,180.4
Bolivia,1984,176.4
Bolivia,1985,160.1
Bolivia,1986,122.6
Bolivia,1987,106.7
Bolivia,1988,112.5
Bolivia,1989,104.7
Bolivia,1990,92.1
Bolivia,1991,91
Bolivia,1992,93.9
Bolivia,1993,90.6
Bolivia,1994,90.1
Bolivia,1995,91.4
Bolivia,1996,89.8
Bolivia,1997,83.8
Bolivia,1998,82.8
Bolivia,1999,89.5
Bolivia,2000,78.6
Bolivia,2001,82.3
Bolivia,2002,79.8
Bolivia,2003,82.2
Bolivia,2004,89.6
Bolivia,2005,89.4
Bolivia,2006,90.6
Bolivia,2007,90.8
Bolivia,2008,97.8
Bolivia,2009,102.8
Bolivia,2010,104.7
Bolivia,2011,101.5
Bolivia,2012,102.7
Bolivia,2013,100.9
Bolivia,2014,102.9
Bolivia,2015,105.6
Bolivia,2016,101.6
Bolivia,2017,106.9
Bolivia,2018,108
Bolivia,2019,115.3
Uraguay,1965,231.4
Uraguay,1966,210.1
Uraguay,1967,211.8
Uraguay,1968,210.7
Uraguay,1969,211.6
Uraguay,1970,207.5
Uraguay,1971,202.3
Uraguay,1972,211.8
Uraguay,1973,207
Uraguay,1974,202.3
Uraguay,1975,208.9
Uraguay,1976,210.4
Uraguay,1977,208.9
Uraguay,1978,213
Uraguay,1979,214.9
Uraguay,1980,197.9
Uraguay,1981,203
Uraguay,1982,197.7
Uraguay,1983,180.4
Uraguay,1984,176.4
Uraguay,1985,160.1
Uraguay,1986,122.6
Uraguay,1987,106.7
Uraguay,1988,112.5
Uraguay,1989,104.7
Uraguay,1990,92.1
Uraguay,1991,91
Uraguay,1992,93.9
Uraguay,1993,90.6
Uraguay,1994,90.1
Uraguay,1995,91.4
Uraguay,1996,89.8
Uraguay,1997,83.8
Uraguay,1998,82.8
Uraguay,1999,89.5
Uraguay,2000,78.6
Uraguay,2001,82.3
Uraguay,2002,79.8
Uraguay,2003,82.2
Uraguay,2004,89.6
Uraguay,2005,89.4
Uraguay,2006,90.6
Uraguay,2007,90.8
Uraguay,2008,97.8
Uraguay,2009,102.8
Uraguay,2010,104.7
Uraguay,2011,101.5
Uraguay,2012,102.7
Uraguay,2013,100.9
Uraguay,2014,102.9
Uraguay,2015,105.6
Uraguay,2016,101.6
Uraguay,2017,106.9
Uraguay,2018,108
Uraguay,2019,115.3
Paraguay,1965,231.4
Paraguay,1966,210.1
Paraguay,1967,211.8
Paraguay,1968,210.7
Paraguay,1969,211.6
Paraguay,1970,207.5
Paraguay,1971,202.3
Paraguay,1972,211.8
Paraguay,1973,207
Paraguay,1974,202.3
Paraguay,1975,208.9
Paraguay,1976,210.4
Paraguay,1977,208.9
Paraguay,1978,213
Paraguay,1979,214.9
Paraguay,1980,197.9
Paraguay,1981,203
Paraguay,1982,197.7
Paraguay,1983,180.4
Paraguay,1984,176.4
Paraguay,1985,160.1
Paraguay,1986,122.6
Paraguay,1987,106.7
Paraguay,1988,112.5
Paraguay,1989,104.7
Paraguay,1990,92.1
Paraguay,1991,91
Paraguay,1992,93.9
Paraguay,1993,90.6
Paraguay,1994,90.1
Paraguay,1995,91.4
Paraguay,1996,89.8
Paraguay,1997,83.8
Paraguay,1998,82.8
Paraguay,1999,89.5
Paraguay,2000,78.6
Paraguay,2001,82.3
Paraguay,2002,79.8
Paraguay,2003,82.2
Paraguay,2004,89.6
Paraguay,2005,89.4
Paraguay,2006,90.6
Paraguay,2007,90.8
Paraguay,2008,97.8
Paraguay,2009,102.8
Paraguay,2010,104.7
Paraguay,2011,101.5
Paraguay,2012,102.7
Paraguay,2013,100.9
Paraguay,2014,102.9
Paraguay,2015,105.6
Paraguay,2016,101.6
Paraguay,2017,106.9
Paraguay,2018,108
Paraguay,2019,115.3
Switzerland,1965,164.1
Switzerland,1966,155.1
Switzerland,1967,153.6
Switzerland,1968,159.7
Switzerland,1969,165.9
Switzerland,1970,165.8
Switzerland,1971,168.5
Switzerland,1972,174.2
Switzerland,1973,169.5
Switzerland,1974,159
Switzerland,1975,148
Switzerland,1976,161.2
Switzerland,1977,147.4
Switzerland,1978,151.1
Switzerland,1979,145.9
Switzerland,1980,138.6
Switzerland,1981,131.4
Switzerland,1982,127
Switzerland,1983,133.5
Switzerland,1984,135.4
Switzerland,1985,130.4
Switzerland,1986,133.3
Switzerland,1987,127
Switzerland,1988,125.5
Switzerland,1989,129.8
Switzerland,1990,133.3
Switzerland,1991,132.5
Switzerland,1992,131.8
Switzerland,1993,125.1
Switzerland,1994,122.6
Switzerland,1995,121.8
Switzerland,1996,130.6
Switzerland,1997,127.2
Switzerland,1998,128
Switzerland,1999,121.2
Switzerland,2000,121.2
Switzerland,2001,121.7
Switzerland,2002,124.1
Switzerland,2003,123.4
Switzerland,2004,125.3
Switzerland,2005,133.4
Switzerland,2006,130.4
Switzerland,2007,120.4
Switzerland,2008,124.4
Switzerland,2009,126.1
Switzerland,2010,123.2
Switzerland,2011,123.5
Switzerland,2012,121.1
Switzerland,2013,124.2
Switzerland,2014,115.7
Switzerland,2015,120.8
Switzerland,2016,123.5
Switzerland,2017,125.8
Switzerland,2018,118.7
Switzerland,2019,121.7
Brazil,1965,191.3
Brazil,1966,191.2
Brazil,1967,190.6
Brazil,1968,195.8
Brazil,1969,195.4
Brazil,1970,190.4
Brazil,1971,191.3
Brazil,1972,186.6
Brazil,1973,186.8
Brazil,1974,184.5
Brazil,1975,182.3
Brazil,1976,178.2
Brazil,1977,174.1
Brazil,1978,170.5
Brazil,1979,164.9
Brazil,1980,161.1
Brazil,1981,157.3
Brazil,1982,150.4
Brazil,1983,142.9
Brazil,1984,138.8
Brazil,1985,135.9
Brazil,1986,138.1
Brazil,1987,138.2
Brazil,1988,135.5
Brazil,1989,135.5
Brazil,1990,132
Brazil,1991,133.2
Brazil,1992,133.7
Brazil,1993,134.4
Brazil,1994,133.5
Brazil,1995,134.9
Brazil,1996,137.5
Brazil,1997,136.3
Brazil,1998,136.4
Brazil,1999,135.4
Brazil,2000,135.1
Brazil,2001,142
Brazil,2002,138.8
Brazil,2003,135.1
Brazil,2004,134.9
Brazil,2005,134.1
Brazil,2006,133
Brazil,2007,130.7
Brazil,2008,133.5
Brazil,2009,126.5
Brazil,2010,130.6
Brazil,2011,132.9
Brazil,2012,136.4
Brazil,2013,143.3
Brazil,2014,146.2
Brazil,2015,143.3
Brazil,2016,136
Brazil,2017,136.4
Brazil,2018,131.2
Brazil,2019,128.1
Australia,1965,280.8
Australia,1966,281.3
Australia,1967,280.7
Australia,1968,279.4
Australia,1969,277.1
Australia,1970,273.3
Australia,1971,270.2
Australia,1972,269.6
Australia,1973,267.8
Australia,1974,266.5
Australia,1975,266.1
Australia,1976,265.8
Australia,1977,266
Australia,1978,266.1
Australia,1979,266.1
Australia,1980,266.5
Australia,1981,266.3
Australia,1982,267.6
Australia,1983,266.5
Australia,1984,267
Australia,1985,266.2
Australia,1986,266.5
Australia,1987,267.4
Australia,1988,267.7
Australia,1989,267.9
Australia,1990,266.9
Australia,1991,268.8
Australia,1992,268.3
Australia,1993,267
Australia,1994,266.2
Australia,1995,267.4
Australia,1996,268.5
Australia,1997,270.1
Australia,1998,271.5
Australia,1999,272.8
Australia,2000,272.7
Australia,2001,272
Australia,2002,271.6
Australia,2003,272.6
Australia,2004,273.4
Australia,2005,272.6
Australia,2006,271.7
Australia,2007,270.6
Australia,2008,272.2
Australia,2009,269.8
Australia,2010,263.7
Australia,2011,258.9
Australia,2012,257.6
Australia,2013,253.3
Australia,2014,254
Australia,2015,253.7
Australia,2016,252
Australia,2017,251.2
Australia,2018,246.8
Australia,2019,240.5
